Outcome,Feature,rho,pVal
GA_AT_SAMPLE,PC.14.0.18.1.,0.228778543127383,3.34024244571542
GA_AT_SAMPLE,PC.14.0.18.2.,0.212805722650161,2.94415625439451
GA_AT_SAMPLE,PC.14.0.20.3.,0.171003579459367,2.03571606010983
GA_AT_SAMPLE,PC.14.0.20.4.,0.161189840054562,1.84829002864918
GA_AT_SAMPLE,PC.15.0.18.1.,0.262873304047273,4.28135026713762
GA_AT_SAMPLE,PC.15.0.18.2.,0.176218586310442,2.13922870753767
GA_AT_SAMPLE,PC.16.0.14.0.,0.173094231344816,2.07688489173737
GA_AT_SAMPLE,PC.16.0.16.0.,0.160372356497248,1.8331075889971
GA_AT_SAMPLE,PC.16.0.16.1.,0.228969889784932,3.34515711949131
GA_AT_SAMPLE,PC.16.0.18.0.,0.0744689056627013,0.585637564879109
GA_AT_SAMPLE,PC.16.0.18.1.,0.292821246945933,5.22095449524359
GA_AT_SAMPLE,PC.16.0.18.2.,0.209278711995495,2.86042613529458
GA_AT_SAMPLE,PC.16.0.18.3.,0.238947181658956,3.60707638919882
GA_AT_SAMPLE,PC.16.0.20.1.,0.38945909920282,9.05868154799828
GA_AT_SAMPLE,PC.16.0.20.2.,0.426791659798792,10.9156712216512
GA_AT_SAMPLE,PC.16.0.20.3.,0.217546056130812,3.0588021661605
GA_AT_SAMPLE,PC.16.0.20.4.,0.19170354584399,2.46288447585597
GA_AT_SAMPLE,PC.16.0.20.5.,-0.0209030399539134,0.123785002772099
GA_AT_SAMPLE,PC.16.0.22.4.,0.293067611853617,5.22914075056216
GA_AT_SAMPLE,PC.16.0.22.5.,0.268522168985904,4.4502906650336
GA_AT_SAMPLE,PC.16.0.22.6.,0.141244994049901,1.49642722083276
GA_AT_SAMPLE,PC.17.0.18.1.,0.229685913269507,3.36358395658669
GA_AT_SAMPLE,PC.17.0.18.2.,0.223786975867355,3.21346490226557
GA_AT_SAMPLE,PC.17.0.20.4.,0.176722027643535,2.14936660303413
